epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,175.617,0.82458,0.17094,0.06804,0.65138,0.95898,0.79849,0.77304,0.80832,0.60683,0.08636,0.07345,0.0816,0.07599,1.02477,0.5011,0.08448,0.92403,1.07772,0.00045953,0.00045953,0.00045953
38,179.797,0.86213,0.21195,0.07836,0.65717,1.00217,0.85053,0.75909,0.80331,0.6094,0.08804,0.0772,0.08304,0.07749,1.00598,0.45747,0.07977,0.87147,1.04665,0.000452462,0.000452462,0.000452462
39,184.096,0.8354,0.18062,0.08273,0.66564,0.9701,0.85008,0.77782,0.81561,0.61052,0.08911,0.07526,0.083,0.07779,0.99771,0.45112,0.07352,0.84667,1.06848,0.000445393,0.000445393,0.000445393
40,188.383,0.79948,0.19133,0.07003,0.59959,0.96397,0.86794,0.72331,0.8242,0.62512,0.08878,0.07278,0.0816,0.07579,1.01969,0.45191,0.07447,0.86153,1.0741,0.000438325,0.000438325,0.000438325
41,192.647,0.83142,0.19101,0.06733,0.59336,0.94645,0.86878,0.74537,0.83369,0.62728,0.08735,0.0764,0.08178,0.07664,1.04411,0.41906,0.06349,0.85074,1.06866,0.000431256,0.000431256,0.000431256
42,196.93,0.82359,0.19436,0.07016,0.62857,0.9967,0.88085,0.77601,0.83753,0.62798,0.08947,0.07477,0.0811,0.07689,0.99413,0.46335,0.07052,0.81656,1.06441,0.000424187,0.000424187,0.000424187
43,201.27,0.82399,0.19018,0.06499,0.61093,0.94641,0.83559,0.78546,0.84613,0.63952,0.09105,0.07321,0.08216,0.07799,0.98746,0.46306,0.06938,0.8257,1.06332,0.000417119,0.000417119,0.000417119
44,205.634,0.78864,0.14562,0.06447,0.58298,0.96892,0.81087,0.81434,0.85365,0.6559,0.09171,0.0748,0.08331,0.07908,0.99289,0.45742,0.0648,0.79931,1.05516,0.00041005,0.00041005,0.00041005
45,210.071,0.74124,0.15955,0.06098,0.54604,0.93507,0.85887,0.78796,0.85374,0.65275,0.0884,0.0756,0.08324,0.0795,0.96211,0.45688,0.06184,0.79405,1.04987,0.000402982,0.000402982,0.000402982
46,214.349,0.77411,0.16535,0.06311,0.56855,0.93574,0.84157,0.78045,0.84952,0.64744,0.08539,0.07717,0.08255,0.07719,1.01467,0.44619,0.05688,0.81305,1.05777,0.000395913,0.000395913,0.000395913
